Industry/Items,"2004-05: Q1","2004-05: Q2","2004-05: Q3","2004-05: Q4","2005-06: Q1","2005-06: Q2","2005-06: Q3","2005-06: Q4","2006-07: Q1","2006-07: Q2","2006-07: Q3","2006-07: Q4","2007-08: Q1","2007-08: Q2","2007-08: Q3","2007-08: Q4","2008-09: Q1","2008-09: Q2","2008-09: Q3","2008-09: Q4","2009-10: Q1","2009-10: Q2","2009-10: Q3","2009-10: Q4","2010-11: Q1","2010-11: Q2","2010-11: Q3","2010-11: Q4","2011-12: Q1","2011-12: Q2","2011-12: Q3","2011-12: Q4","2012-13: Q1","2012-13: Q2","2012-13: Q3","2012-13: Q4","2013-14: Q1"
"Agriculture, Forestry & Fishing",135745,108879,172401,148401,139404,113023,185750,156309,144789,116947,193209,164244,151336,122419,211649,169677,155734,123780,203810,172365,156674,126275,201085,176954,163231,134678,224698,190868,171966,138987,233894,194649,176888,141334,238106,197282,181705
"Mining & Quarrying",20275,20067,21744,22942,21110,19650,21745,23636,22187,20901,23608,25882,22391,21837,24620,27149,23072,22329,25468,27186,24521,23582,26482,29245,26318,25291,28083,29246,26205,23942,27345,30758,26302,24345,27157,29815,25568
Manufacturing,104208,110614,115718,122684,117189,120672,126164,134995,131959,137616,143793,157090,148706,152133,158014,170219,166691,165643,162645,161323,170062,179190,183108,198077,189313,193941,201334,216889,203349,199873,202665,217136,201230,200001,207689,222728,198827
"Electricity, Gas & Water Supply",15370,15738,15669,15897,16774,16450,16737,17161,18055,18077,18562,18668,19840,19680,19824,20086,20614,20649,20751,21036,21891,22163,21645,22519,22993,22685,22930,24165,24508,24599,24686,25020,26018,25386,25798,25716,26978
Construction,54628,55320,57934,60973,60667,60889,66694,69879,67522,67185,72819,77280,75363,76547,80379,83206,82341,81612,80870,87506,85729,86057,88021,94629,94838,93093,97625,105137,98410,99167,104350,110485,105340,102267,107347,115322,108266
"Trade, Hotels, Transport & Communication",166534,173258,186955,200974,188805,193772,207862,224968,208196,217247,233529,251112,234407,238928,257643,278542,266149,266044,271619,281312,279573,289201,301209,327908,318593,323781,333815,369471,348903,346452,356768,388189,370197,369996,379550,412291,384567
"Financing, Insurance, Real Estate And Business Services",105802,106113,110412,114847,117727,119827,123279,131508,133496,136317,141315,149935,150450,153451,158335,165887,167558,170253,177074,188744,187611,189650,193064,201580,205748,208712,214128,221044,229638,234460,238586,246124,250955,253996,257216,268516,273388
"Community, Social & Personal Services",92439,100790,100221,117910,98403,107993,107907,126123,104672,111543,109404,127205,109110,119533,115353,139921,118788,131290,142756,151663,134068,156387,153632,164282,139577,163084,152527,179170,144517,173628,162959,191365,157324,188204,172006,199111,172149
"GDP At Factor Cost",695001,690779,781054,804629,760080,752277,856139,884579,830877,825833,936238,971417,911603,904529,1025818,1054686,1000947,981599,1084993,1091136,1060128,1072506,1168245,1215194,1160611,1165264,1275140,1335989,1247496,1241106,1351252,1403727,1314255,1305531,1414869,1470782,1371446
"Net Indirect Taxes",55042,67303,69333,79068,59146,69816,70557,90652,49022,80432,78286,99385,63409,84573,95710,110619,52885,74122,53747,76920,46332,56672,63992,107780,62932,76497,93023,126651,77712,79548,96074,134464,55959,48099,91340,112829,31986
"Indirect Taxes",74375,88521,91029,110042,81489,97871,100709,125648,88312,110480,114223,143782,98815,115581,129835,159116,97436,114305,121246,141023,86678,105337,113948,156091,106464,126893,138440,186602,122788,137556,146039,199123,125751,144731,155979,216654,130683
Subsidies,19333,21219,21696,30975,22343,28055,30152,34996,39289,30048,35938,44397,35405,31008,34125,48498,44550,40183,67499,64103,40346,48664,49956,48311,43532,50396,45417,59951,45077,58008,49965,64659,69792,96632,64639,103825,98698
"GDP At Market Prices",750043,758082,850387,883697,819226,822092,926696,975231,879899,906265,1014523,1070802,975012,989102,1121528,1165305,1053833,1055722,1138740,1168055,1106459,1129178,1232237,1322973,1223543,1241761,1368163,1462640,1325207,1320654,1447327,1538191,1370214,1353630,1506209,1583611,1403432
"Government Final Consumption Expenditure",73582,80525,82553,117858,75362,94142,100131,116372,105842,80921,95676,118140,105446,90881,99624,142969,103501,92465,149886,138607,119024,115886,160412,156381,129868,125732,164955,163798,140749,139196,178362,176252,150860,148796,182198,177381,166679
"Private Final Consumption Expenditure",452849,447004,523870,493785,497298,487992,564788,533232,533481,542217,607361,576833,581045,587299,668885,634168,639466,632933,711281,665930,681427,690167,761779,711930,753058,760342,814071,761409,802762,808519,888613,835006,837195,837130,925544,866854,850767
"Gross Fixed Capital Formation",210318,223045,234206,263459,242624,256998,274886,307284,273193,286222,315959,355890,325658,344174,363741,397190,370961,380647,371371,357965,360677,393309,397266,443223,415566,446242,468666,487111,473501,463217,460717,499874,462929,468381,481638,517039,457459
"Change in Stock",18428,19561,20464,21696,23839,24547,25664,27461,30894,32219,33665,36778,41465,42421,44061,47464,21662,21526,21137,20965,33306,35093,35861,38792,43818,44889,46600,50201,31787,31244,31681,33943,53966,53637,55698,59731,53734
Valuables,9394,10042,10300,11318,8443,10187,10292,11492,10920,11245,11412,12356,10079,11390,13146,12648,16586,15741,14439,13222,22532,25117,22542,24333,31673,32478,29981,31059,36769,28172,32500,36013,29082,29386,30244,28754,55995
"Exports Of Goods And Services",122482,125100,143685,177784,158198,159413,183691,216123,201057,214870,206376,241157,206559,215440,234140,258489,265883,278279,256235,247743,238672,242962,247484,269912,268863,271453,317096,338352,321392,324921,349317,383594,360707,341223,336949,381215,356406
"Less Imports Of Goods And Services",124082,152936,173390,175537,197043,196466,213001,223416,244123,258406,251027,254642,248727,261496,280983,319756,333407,382968,350420,296507,304471,319921,350759,359029,375971,375467,392970,400755,444398,447373,487477,497950,492000,489899,507885,514288,495604
Discrepancies,-12928,5740,8699,-26666,10505,-14720,-19755,-13317,-31366,-3022,-4899,-15710,-46512,-41007,-21086,-7866,-30820,17099,-35188,20131,-44707,-53434,-42347,37428,-43333,-63908,-80236,31466,-37358,-27242,-6386,71459,-32526,-35023,1822,66923,-42003
"Expenditure On GDP",750043,758082,850387,883697,819226,822092,926696,975231,879899,906265,1014523,1070802,975012,989102,1121528,1165305,1053833,1055722,1138740,1168055,1106460,1129179,1232237,1322970,1223543,1241761,1368163,1462640,1325207,1320654,1447327,1538191,1370214,1353630,1506209,1583611,1403432
